Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Amantle,2023-10-22 18:40:42,00:00:11,Autoplayed: user action: None; ,Suits: Season 8: Good Mudding (Episode 5),,Netflix Windows App - Cadmium Windows Mobile,00:00:11,00:00:11,BW (Botswana)
Amantle,2023-10-22 17:51:14,00:47:39,,Suits: Season 8: Revenue Per Square Foot (Episode 4),,Netflix Windows App - Cadmium Windows Mobile,00:41:49,00:41:49,BW (Botswana)
Amantle,2023-10-22 17:47:23,00:03:25,,"Suits: Season 8: Promises, Promises (Episode 3)",,Netflix Windows App - Cadmium Windows Mobile,00:41:27,00:41:27,BW (Botswana)
Amantle,2023-10-22 04:04:07,00:00:13,Autoplayed: user action: None; ,The Big Bang Theory: Season 7: The Friendship Turbulence (Episode 17),,Netflix Windows App - Cadmium Windows Mobile,00:00:13,00:00:13,BW (Botswana)
Amantle,2023-10-22 03:43:53,00:19:29,,The Big Bang Theory: Season 7: The Table Polarization (Episode 16),,Netflix Windows App - Cadmium Windows Mobile,00:19:30,00:19:30,BW (Botswana)
Amantle,2023-10-22 03:23:31,00:19:51,,The Big Bang Theory: Season 7: The Locomotive Manipulation (Episode 15),,Netflix Windows App - Cadmium Windows Mobile,00:19:52,00:19:52,BW (Botswana)
Amantle,2023-10-22 03:02:32,00:20:31,,The Big Bang Theory: Season 7: The Convention Conundrum (Episode 14),,Netflix Windows App - Cadmium Windows Mobile,00:20:31,00:20:31,BW (Botswana)
Amantle,2023-10-22 02:42:06,00:20:00,,The Big Bang Theory: Season 7: The Occupation Recalibration (Episode 13),,Netflix Windows App - Cadmium Windows Mobile,00:20:00,00:20:00,BW (Botswana)
Amantle,2023-10-22 02:20:48,00:21:02,,The Big Bang Theory: Season 7: The Hesitation Ramification (Episode 12),,Netflix Windows App - Cadmium Windows Mobile,00:21:02,00:21:02,BW (Botswana)
Amantle,2023-10-22 01:59:25,00:21:11,,The Big Bang Theory: Season 7: The Cooper Extraction (Episode 11),,Netflix Windows App - Cadmium Windows Mobile,00:21:11,00:21:11,BW (Botswana)
Amantle,2023-10-22 01:40:33,00:18:28,,The Big Bang Theory: Season 7: The Discovery Dissipation (Episode 10),,Netflix Windows App - Cadmium Windows Mobile,00:18:28,00:18:28,BW (Botswana)
Amantle,2023-10-22 01:21:04,00:19:06,,The Big Bang Theory: Season 7: The Thanksgiving Decoupling (Episode 9),,Netflix Windows App - Cadmium Windows Mobile,00:19:06,00:19:06,BW (Botswana)
Amantle,2023-10-22 01:00:56,00:19:56,,The Big Bang Theory: Season 7: The Itchy Brain Simulation (Episode 8),,Netflix Windows App - Cadmium Windows Mobile,00:19:56,00:19:56,BW (Botswana)
Amantle,2023-10-22 00:41:22,00:19:25,,The Big Bang Theory: Season 7: The Proton Displacement (Episode 7),,Netflix Windows App - Cadmium Windows Mobile,00:19:25,00:19:25,BW (Botswana)
Amantle,2023-10-22 00:20:47,00:20:26,,The Big Bang Theory: Season 7: The Romance Resonance (Episode 6),,Netflix Windows App - Cadmium Windows Mobile,00:20:26,00:20:26,BW (Botswana)
Amantle,2023-10-22 00:01:23,00:18:53,,The Big Bang Theory: Season 7: The Workplace Proximity (Episode 5),,Netflix Windows App - Cadmium Windows Mobile,00:18:53,00:18:53,BW (Botswana)
Amantle,2023-10-21 23:40:19,00:20:51,,The Big Bang Theory: Season 7: The Raiders Minimization (Episode 4),,Netflix Windows App - Cadmium Windows Mobile,00:20:51,00:20:51,BW (Botswana)
Amantle,2023-10-21 23:18:05,00:20:35,,The Big Bang Theory: Season 7: The Scavenger Vortex (Episode 3),,Netflix Windows App - Cadmium Windows Mobile,00:20:35,00:20:35,BW (Botswana)
Amantle,2023-10-21 23:00:34,00:17:19,,The Big Bang Theory: Season 7: The Deception Verification (Episode 2),,Netflix Windows App - Cadmium Windows Mobile,00:21:08,00:21:08,BW (Botswana)
Amantle,2023-10-21 22:39:18,00:21:06,,The Big Bang Theory: Season 7: The Hofstadter Insufficiency (Episode 1),,Netflix Windows App - Cadmium Windows Mobile,00:21:06,00:21:06,BW (Botswana)
Amantle,2023-10-21 22:27:59,00:10:55,,The Big Bang Theory: Season 6: The Bon Voyage Reaction (Episode 24),,Netflix Windows App - Cadmium Windows Mobile,00:19:56,00:19:56,BW (Botswana)
Amantle,2023-10-20 20:58:47,00:09:03,Autoplayed: user action: None; ,The Big Bang Theory: Season 6: The Bon Voyage Reaction (Episode 24),,Netflix Windows App - Cadmium Windows Mobile,00:09:03,Not latest view,BW (Botswana)
Amantle,2023-10-20 20:38:05,00:20:20,,The Big Bang Theory: Season 6: The Love Spell Potential (Episode 23),,Netflix Windows App - Cadmium Windows Mobile,00:20:20,00:20:20,BW (Botswana)
Amantle,2023-10-20 20:16:36,00:21:15,,The Big Bang Theory: Season 6: The Proton Resurgence (Episode 22),,Netflix Windows App - Cadmium Windows Mobile,00:21:15,00:21:15,BW (Botswana)
Amantle,2023-10-20 19:55:54,00:19:37,,The Big Bang Theory: Season 6: The Closure Alternative (Episode 21),,Netflix Windows App - Cadmium Windows Mobile,00:19:37,00:19:37,BW (Botswana)
